Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Wear Torque Ratio,Machanical Stress,Thermal Stress
2,298.1,308.6,1551,42.8,0,0,10.5,0.0,66382.79999999999,91993.66000000002
1,298.2,308.7,1408,46.3,3,0,10.5,0.75,65190.399999999994,92054.34
1,298.1,308.5,1498,49.4,5,0,10.399999999999977,0.8333333333333334,74001.2,91963.85
1,298.2,308.6,1433,39.5,7,0,10.400000000000034,0.875,56603.5,92024.52
1,298.2,308.7,1408,40.0,9,0,10.5,0.9,56320.0,92054.34
2,298.1,308.6,1425,41.9,11,0,10.5,0.9166666666666666,59707.5,91993.66000000002
1,298.1,308.6,1558,42.4,14,0,10.5,0.9333333333333333,66059.2,91993.66000000002
1,298.1,308.6,1527,40.2,16,0,10.5,0.9411764705882353,61385.4,91993.66000000002
2,298.3,308.7,1667,28.6,18,0,10.399999999999977,0.9473684210526315,47676.200000000004,92085.21
2,298.5,309.0,1741,28.0,21,0,10.5,0.9545454545454546,48748.0,92236.5
0,298.4,308.9,1782,23.9,24,0,10.5,0.96,42589.799999999996,92175.75999999998
0,298.6,309.1,1423,44.3,29,0,10.5,0.9666666666666667,63038.899999999994,92297.26000000001
2,298.6,309.1,1339,51.1,34,0,10.5,0.9714285714285714,68422.90000000001,92297.26000000001
2,298.6,309.2,1742,30.0,37,0,10.599999999999966,0.9736842105263158,52260.0,92327.12000000001
1,298.6,309.2,2035,19.6,40,0,10.599999999999966,0.975609756097561,39886.0,92327.12000000001
1,298.6,309.2,1542,48.4,42,0,10.599999999999966,0.9767441860465116,74632.8,92327.12000000001
2,298.6,309.2,1311,46.6,44,0,10.599999999999966,0.9777777777777777,61092.6,92327.12000000001
2,298.7,309.2,1410,45.6,47,0,10.5,0.9791666666666666,64296.0,92358.04
0,298.8,309.2,1306,54.5,50,0,10.399999999999977,0.9803921568627451,71177.0,92388.96
2,298.9,309.3,1632,32.5,55,0,10.400000000000034,0.9821428571428571,53040.0,92449.76999999999
0,298.9,309.3,1375,42.7,58,0,10.400000000000034,0.9830508474576272,58712.50000000001,92449.76999999999
1,298.8,309.3,1450,44.8,63,0,10.5,0.984375,64959.99999999999,92418.84000000001
2,298.9,309.3,1581,30.7,65,0,10.400000000000034,0.9848484848484849,48536.7,92449.76999999999
1,299.0,309.4,1758,25.7,68,0,10.399999999999977,0.9855072463768116,45180.6,92510.59999999999
2,299.0,309.4,1561,37.3,70,0,10.399999999999977,0.9859154929577465,58225.299999999996,92510.59999999999
1,299.0,309.5,1861,23.3,73,0,10.5,0.9864864864864865,43361.3,92540.5
1,299.1,309.5,1512,39.0,75,0,10.399999999999977,0.9868421052631579,58968.0,92571.45000000001
0,299.1,309.4,1811,24.6,77,0,10.299999999999955,0.9871794871794872,44550.600000000006,92541.54
1,299.1,309.4,1439,44.2,82,0,10.299999999999955,0.9879518072289156,63603.8,92541.54
1,299.0,309.4,1693,30.1,84,0,10.399999999999977,0.9882352941176471,50959.3,92510.59999999999
2,299.1,309.5,1339,48.2,86,0,10.399999999999977,0.9885057471264368,64539.8,92571.45000000001
1,299.0,309.4,1798,25.5,89,0,10.399999999999977,0.9888888888888889,45849.0,92510.59999999999
